prot_rh20,prot_tess,power,Tmag,snr,status
3.32,3.301441093448225,0.96844496194427,12.6363,59.45457490332256,match
8.38,7.997264908050527,0.9531816125008292,11.7596,53.576594998576624,match
7.11,7.00700006306363,0.9509183339073094,11.9401,49.23902905141284,match
3.13,3.0964955061659585,0.9482496500949916,12.9398,50.21683134423404,match
1.25,1.242799458631142,0.9475383370047896,11.8122,44.50896529310412,match
5.97,6.192904718111641,0.94301674047551,11.3983,51.29122295075259,match
5.46,5.328761210493502,0.9416679644669972,11.54,49.75062814714428,match
2.85,2.8597902322887845,0.940173675463498,11.8182,51.22041349131053,match
1.67,1.677321960976714,0.9390537747280518,13.0139,43.84663883131127,match
3.0,2.999932500843739,0.9351288234896168,12.8018,46.04544218529417,match
7.33,7.128147554129911,0.9348700554572492,11.3714,44.86795434238071,match
3.99,4.115185185185185,0.9291156446609948,11.3464,68.43816481602809,match
4.58,4.438895769246135,0.92785011029926,10.2181,48.54654856505486,match
8.06,8.14231276564561,0.9240144664243094,12.0444,42.84618012628163,match
4.61,4.623803578859758,0.9229501978267576,12.6822,54.03906228811082,match
4.35,4.344392093996207,0.9197943655431472,10.414,65.61657580056564,match
2.99,2.916770577657606,0.9170682371092688,12.1541,55.95782008066343,match
4.76,4.896115627822945,0.9165077748175297,12.8313,47.436799144791394,match
3.27,3.237423697207209,0.9162835470066176,12.5037,47.48665544783463,match
2.41,2.4115553240439294,0.914601749039146,11.8959,62.30826143700752,match
1.84,1.865341514803032,0.9129876299327266,13.2152,32.19971481833646,match
5.88,5.927605430926405,0.9127578145466289,12.17,33.36294249959131,match
2.32,2.2813789704946306,0.9110914286913324,10.9654,58.04635075270686,match
5.69,5.525524032125719,0.910398176880464,12.8682,48.128995029109824,match
3.71,3.689094742434052,0.9078379893911644,13.0594,57.59921550816771,match
5.6,5.616154468257177,0.9060084036106814,12.2174,34.31141673394307,match
2.42,2.459110727486001,0.9026591356320424,12.4993,50.12160259373096,match
4.26,4.252037809498297,0.90134412485809,12.9573,35.01570458653608,match
3.11,3.119446355124444,0.8989642959238745,10.5875,63.74226609598563,match
8.79,9.279271755470186,0.8986668534323139,11.0198,35.19452550415037,match
